Position,Track Name,Artist,Streams,URL,Date,Region
89,EgoÃ­sta,Ozuna,29017,https://open.spotify.com/track/4X3CV9rXo3hQrkb0fzRAux,08/12/2017,ar
90,Solo a Solas (feat. Maluma),Cosculluela,28191,https://open.spotify.com/track/4iKuG50iHNBaybQOo11yrN,08/12/2017,ar
91,BÃ¡ilame,Nacho,26835,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,08/12/2017,ar
92,Amor para un Rato,Olvidate!,26608,https://open.spotify.com/track/47EEKhimMiDtUfYNR5Ii58,08/12/2017,ar
93,Vacaciones,Wisin,26385,https://open.spotify.com/track/1rXojdsUqqxGj2WCmJGWHP,08/12/2017,ar
94,Vente Pa' Ca,Ricky Martin,26269,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,08/12/2017,ar
95,Borro Cassette,Maluma,26063,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,08/12/2017,ar
96,El Desorden,Ozuna,25889,https://open.spotify.com/track/0JOUrhZGMCx3lk9VosAQWl,08/12/2017,ar
97,Juraste,Sky,25813,https://open.spotify.com/track/1xrbyp16GiuTEttWGqNQE6,08/12/2017,ar
98,Baila Morena,Dame 5,25812,https://open.spotify.com/track/5ut9BH3m0lH2kRfZc3YSKV,08/12/2017,ar
99,La Quiero Conocer,Marama,25627,https://open.spotify.com/track/2HNBSacyB6jm04n9dX2Mse,08/12/2017,ar
100,Andas En Mi Cabeza,Chino & Nacho,25579,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,08/12/2017,ar
101,Vitamina,Maluma,25196,https://open.spotify.com/track/5W9oqM9MkYU0DVBic748ZJ,08/12/2017,ar
102,Attention,Charlie Puth,25086,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,08/12/2017,ar
103,Something Just Like This,The Chainsmokers,25031,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,08/12/2017,ar
104,Never Be the Same - Radio Edit,Camila Cabello,24992,https://open.spotify.com/track/0BlY60NrN0fFWbdW3RW40q,08/12/2017,ar
105,Dusk Till Dawn - Radio Edit,ZAYN,24843,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,08/12/2017,ar
106,Oncemil,Abel Pintos,24706,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ,08/12/2017,ar
107,No Te Hagas,Jory Boy,24607,https://open.spotify.com/track/5hKjEpYrJIJs6uPl7zw6Y6,08/12/2017,ar
108,Ahora Me Llama - Remix,Karol G,24552,https://open.spotify.com/track/63yOvxSAB02K45KDnZscS0,08/12/2017,ar
109,Terremoto Pa Tu Cola,El Apache Ness,24464,https://open.spotify.com/track/1J9WTzQ3ZU6sAUdhdkTOCn,08/12/2017,ar
110,Ready for the Night,Duki,24321,https://open.spotify.com/track/7JIjlqksUcoVWOM3XdINe6,08/12/2017,ar
111,SUBEME LA RADIO,Enrique Iglesias,24258,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,08/12/2017,ar
112,Despacito - Remix,Luis Fonsi,24232,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,08/12/2017,ar
113,Ay Mi Dios,IAmChino,23973,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,08/12/2017,ar
114,El Amante - Remix,Nicky Jam,23823,https://open.spotify.com/track/04f13iELcsYpY2yeLiAcfq,08/12/2017,ar
115,La Noche No Es para Dormir,Mano Arriba,23795,https://open.spotify.com/track/3gEebOzxHpEwElicl1XBy0,08/12/2017,ar
116,Alguien Robo,Sebastian Yatra,23485,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy,08/12/2017,ar
117,Lola,Duki,23374,https://open.spotify.com/track/1zZY7jIGBBGfUCSgNsVuRg,08/12/2017,ar
118,Too Good At Goodbyes,Sam Smith,22765,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,08/12/2017,ar
119,Dime Cosas Lindas,Dame 5,22718,https://open.spotify.com/track/335SGs7Q58sUqkbgqF5Z3J,08/12/2017,ar
120,Te Quiero PaÂ´Mi,Don Omar,22505,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,08/12/2017,ar
121,Creo,Callejeros,22415,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ,08/12/2017,ar
122,Nuestro Secreto,Carlos Vives,22153,https://open.spotify.com/track/2sBTBHbqkwz0qSDhKsQ4OQ,08/12/2017,ar
