"","Rank","Track","Artist","Streams","Date"
"184",95,"Ibiza","Ozuna",725618,2018-12-08
"185",96,"Santa Claus Is Coming To Town","The Jackson 5",720006,2018-12-08
"186",97,"Love Lies (with Normani)","Khalid",718858,2018-12-08
"187",98,"Look At Me!","XXXTENTACION",717341,2018-12-08
"188",99,"Say You Won't Let Go","James Arthur",710399,2018-12-08
"189",100,"All The Stars (with SZA)","Kendrick Lamar",707024,2018-12-08
"190",102,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",706146,2018-12-08
"191",103,"ocean eyes","Billie Eilish",706007,2018-12-08
"192",104,"Closer","The Chainsmokers",703458,2018-12-08
"193",105,"Congratulations","Post Malone",700170,2018-12-08
"194",106,"Killer Queen - Remastered 2011","Queen",699467,2018-12-08
"195",107,"Topanga","Trippie Redd",698682,2018-12-08
"196",108,"Parado no Bailão","MC L da Vinte",698449,2018-12-08
"197",109,"PPP","Kevin Roldan",696721,2018-12-08
"198",110,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",690174,2018-12-08
"199",111,"Introduction","XXXTENTACION",689190,2018-12-08
"200",114,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental",688274,2018-12-08
